	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4
ENSSSCG00000000667	0	0	0	0	0	0	0	0	0	10	0	0
ENSSSCG00000000668	1	3	0	0	0	0	0	0	0	7	8	0
ENSSSCG00000000669	0	0	0	0	0	0	0	0	0	0	0	0
ENSSSCG00000000672	8	12	37	102	128	16	99	9	13	20	19	28
ENSSSCG00000000679	0	8	0	38	0	0	9	5	15	17	14	94
ENSSSCG00000000680	5	0	3	39	17	0	3	10	0	10	0	0
ENSSSCG00000000681	43	54	124	202	129	43	17	103	20	12	49	26
ENSSSCG00000000682	24	22	0	4	27	3	24	0	0	12	10	0
ENSSSCG00000000683	32	5	25	2	45	0	8	101	6	14	19	12
ENSSSCG00000000684	114	156	49	166	150	68	54	62	76	42	123	102
ENSSSCG00000000685	106	95	85	24	117	144	20	189	79	18	84	101
ENSSSCG00000000687	154	110	18	98	283	54	76	145	9	2	6	82
ENSSSCG00000000688	7	44	16	0	10	12	1	15	3	0	33	17
ENSSSCG00000000690	82	62	128	85	68	75	20	146	41	20	196	92
ENSSSCG00000000691	101	133	55	64	140	123	60	186	38	48	117	216
ENSSSCG00000000692	0	26	0	1	0	0	0	2	12	10	0	0
ENSSSCG00000000693	248	179	345	313	326	109	123	247	71	48	188	273
ENSSSCG00000000694	388	385	515	155	308	271	122	627	167	76	237	429
ENSSSCG00000000695	335	102	114	174	479	232	93	256	258	112	626	910
ENSSSCG00000000696	95	52	90	63	157	51	48	104	11	1	116	64
ENSSSCG00000000697	866	536	920	776	1117	508	274	752	276	187	889	729
ENSSSCG00000000699	27	0	3	29	17	7	0	3	0	0	0	0
ENSSSCG00000000700	20	9	26	13	18	5	24	30	15	19	59	23
ENSSSCG00000000702	288	168	230	341	300	165	26	335	40	30	174	148
ENSSSCG00000000703	50	40	53	16	44	7	9	81	19	28	22	23
ENSSSCG00000000704	0	0	0	0	9	0	0	0	5	0	1	0
ENSSSCG00000000705	57	18	15	43	27	1	7	0	13	4	14	0
ENSSSCG00000000706	80	66	31	121	109	88	22	63	69	30	173	105
ENSSSCG00000000707	73	87	30	18	3	14	15	49	105	31	212	110
ENSSSCG00000000708	153	180	176	343	484	193	114	261	203	67	386	391
ENSSSCG00000000709	28	17	14	14	0	4	6	13	42	25	152	116
ENSSSCG00000000712	963	415	1044	1148	1035	723	242	541	418	150	1352	588
ENSSSCG00000000716	0	0	19	3	0	13	17	20	11	2	2	0
ENSSSCG00000000718	0	7	0	57	19	0	22	0	3	14	0	0
